external_id,name,description,category,difficulty,muscle_groups,source_section,source
routine-piernas-sentadillas-con-barra-30kg,sentadillas con barra,"Ejercicio compuesto para fortalecer piernas y glúteos utilizando una barra con peso. Ayuda a mejorar la fuerza, estabilidad y resistencia muscular.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20con%20barra%20ejercicio%20gym
routine-espalda-dominadas,dominadas,Ejercicio de peso corporal enfocado en desarrollar la espalda y los brazos. Mejora la fuerza del tren superior y el control corporal.,strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=dominadas%20ejercicio%20gym
routine-pecho-press-plano-25kg-barra,press plano,"Movimiento clásico de pecho realizado en banco plano con barra o peso libre. Trabaja principalmente pecho, hombros y tríceps.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=press%20plano%20ejercicio%20gym
routine-biceps-curl-con-barra-recta-15kg,curl con barra recta ,Ejercicio de aislamiento para bíceps realizado con barra recta. Ideal para desarrollar fuerza y volumen en los brazos.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20con%20barra%20recta%20%20ejercicio%20gym
routine-abdominales-y-cintura-plancha,plancha,"Ejercicio isométrico que fortalece el core, abdominales y zona lumbar, mejorando la estabilidad corporal.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=plancha%20ejercicio%20gym
routine-antebrazo-curl-pronado,curl pronado,Ejercicio de aislamiento para trabajar antebrazo. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=curl%20pronado%20ejercicio%20gym
routine-piernas-sentadillas-con-disco,sentadillas con disco,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20con%20disco%20ejercicio%20gym
routine-espalda-remo-trx,remo trx,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20trx%20ejercicio%20gym
routine-pecho-aperturas-en-plano-24kg,aperturas en plano,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=aperturas%20en%20plano%20ejercicio%20gym
routine-biceps-concentrado,concentrado,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=concentrado%20ejercicio%20gym
routine-abdominales-y-cintura-cruzados,cruzados,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=cruzados%20ejercicio%20gym
routine-antebrazo-curl-con-barra-agarre-supino,curl con barra agarre supino,Ejercicio de aislamiento para trabajar antebrazo. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=curl%20con%20barra%20agarre%20supino%20ejercicio%20gym
routine-piernas-sentadillas-con-manc,sentadillas con manc.,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20con%20manc.%20ejercicio%20gym
routine-espalda-seal-row,seal row,"Ejercicio compuesto enfocado en trabajar espalda. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=seal%20row%20ejercicio%20gym
routine-pecho-press-inclinado-30kg,press inclinado,Ejercicio de empuje enfocado en pecho. Ayuda a ganar fuerza y estabilidad en el tren superior.,strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=press%20inclinado%20ejercicio%20gym
routine-biceps-curl-con-barra-w-en-scoot,curl con barra w en scoot,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20con%20barra%20w%20en%20scoot%20ejercicio%20gym
routine-abdominales-y-cintura-elevacion-de-rodillas,elevacion de rodillas,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=elevacion%20de%20rodillas%20ejercicio%20gym
routine-antebrazo-rotacion-de-mancuerna,rotacion de mancuerna,"Ejercicio compuesto enfocado en trabajar antebrazo. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=rotacion%20de%20mancuerna%20ejercicio%20gym
routine-piernas-sillon-de-cuadriceps-65kg,sillon de cuadriceps ,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sillon%20de%20cuadriceps%20%20ejercicio%20gym
routine-espalda-dorsalera-abierto-45kg,dorsalera abierto ,"Ejercicio compuesto enfocado en trabajar espalda. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=dorsalera%20abierto%20%20ejercicio%20gym
routine-pecho-apertura-inclinado-24kg,apertura inclinado ,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=apertura%20inclinado%20%20ejercicio%20gym
routine-biceps-spider-curl,spider curl,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=spider%20curl%20ejercicio%20gym
routine-abdominales-y-cintura-toque-de-puntas-de-pie,toque de puntas de pie,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=toque%20de%20puntas%20de%20pie%20ejercicio%20gym
routine-antebrazo-supinacion-con-mancuera,supinacion con mancuera,"Ejercicio compuesto enfocado en trabajar antebrazo. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=supinacion%20con%20mancuera%20ejercicio%20gym
routine-piernas-sentadillas-hack,sentadillas hack,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadillas%20hack%20ejercicio%20gym
routine-espalda-dorsalera-cerrado-45kg,dorsalera cerrado,"Ejercicio compuesto enfocado en trabajar espalda. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=dorsalera%20cerrado%20ejercicio%20gym
routine-pecho-press-declinado,press declinado,Ejercicio de empuje enfocado en pecho. Ayuda a ganar fuerza y estabilidad en el tren superior.,strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=press%20declinado%20ejercicio%20gym
routine-biceps-curl-martillo-9kg,curl martillo ,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20martillo%20%20ejercicio%20gym
routine-abdominales-y-cintura-abs-ruedita,abs ruedita,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=abs%20ruedita%20ejercicio%20gym
routine-antebrazo-supinacion-con-barra,supinacion con barra,"Ejercicio compuesto enfocado en trabajar antebrazo. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,antebrazo,Antebrazo,https://www.google.com/search?tbm=isch&q=supinacion%20con%20barra%20ejercicio%20gym
routine-piernas-prensa-95kg,prensa ,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=prensa%20%20ejercicio%20gym
routine-espalda-remo-bajo-abierto,remo bajo abierto,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20bajo%20abierto%20ejercicio%20gym
routine-pecho-apertura-declinado,apertura declinado,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=apertura%20declinado%20ejercicio%20gym
routine-biceps-alternado-inclinado,alternado inclinado,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=alternado%20inclinado%20ejercicio%20gym
routine-abdominales-y-cintura-toque-de-talones,toque de talones,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=toque%20de%20talones%20ejercicio%20gym
routine-piernas-step-up,step up,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=step%20up%20ejercicio%20gym
routine-espalda-remo-bajo-cerrado,remo bajo cerrado,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20bajo%20cerrado%20ejercicio%20gym
routine-pecho-cruces-con-mancuernas-sentado,cruces con mancuernas sentado,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=cruces%20con%20mancuernas%20sentado%20ejercicio%20gym
routine-biceps-curl-martillo-inclinado,curl martillo inclinado,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20martillo%20inclinado%20ejercicio%20gym
routine-abdominales-y-cintura-plancha-escalador,plancha escalador,"Ejercicio isométrico que fortalece el core, abdominales y zona lumbar, mejorando la estabilidad corporal.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=plancha%20escalador%20ejercicio%20gym
routine-piernas-abduccion-en-maquina,abduccion en maquina,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=abduccion%20en%20maquina%20ejercicio%20gym
routine-espalda-remo-bajo-unilateral,remo bajo unilateral,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20bajo%20unilateral%20ejercicio%20gym
routine-pecho-press-inclinado-smitch,press inclinado smitch,Ejercicio de empuje enfocado en pecho. Ayuda a ganar fuerza y estabilidad en el tren superior.,strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=press%20inclinado%20smitch%20ejercicio%20gym
routine-biceps-alternado-parado-8kg,alternado parado,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=alternado%20parado%20ejercicio%20gym
routine-abdominales-y-cintura-plancha-lateral,plancha lateral,"Ejercicio isométrico que fortalece el core, abdominales y zona lumbar, mejorando la estabilidad corporal.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=plancha%20lateral%20ejercicio%20gym
routine-piernas-sentadilla-sumo-20kg,sentadilla sumo ,"Ejercicio fundamental para desarrollar piernas, mejorando fuerza, equilibrio y potencia.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=sentadilla%20sumo%20%20ejercicio%20gym
routine-espalda-remo-con-barra,remo con barra,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20con%20barra%20ejercicio%20gym
routine-pecho-cruces-en-polea-alta,cruces en polea alta,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=cruces%20en%20polea%20alta%20ejercicio%20gym
routine-biceps-alternado-sentado,alternado sentado,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=alternado%20sentado%20ejercicio%20gym
routine-abdominales-y-cintura-oblicuos-con-manteca,oblicuos con manteca,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=oblicuos%20con%20manteca%20ejercicio%20gym
routine-piernas-bulgaras,bulgaras,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=bulgaras%20ejercicio%20gym
routine-espalda-remo-t-30kg,remo t ,"Ejercicio de tracción para fortalecer espalda, mejorando postura y resistencia muscular.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=remo%20t%20%20ejercicio%20gym
routine-pecho-cruces-en-polea-baja,cruces en polea baja,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=cruces%20en%20polea%20baja%20ejercicio%20gym
routine-biceps-curl-en-polea-con-soga,curl en polea con soga,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20en%20polea%20con%20soga%20ejercicio%20gym
routine-abdominales-y-cintura-oblicuos-con-balon,oblicuos con balon,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=oblicuos%20con%20balon%20ejercicio%20gym
routine-piernas-pull-through,pull through,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=pull%20through%20ejercicio%20gym
routine-espalda-serrucho-con-mancuerna,serrucho con mancuerna,"Ejercicio compuesto enfocado en trabajar espalda. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=serrucho%20con%20mancuerna%20ejercicio%20gym
routine-pecho-flexiones-de-brazos-abierta,flexiones de brazos abierta,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=flexiones%20de%20brazos%20abierta%20ejercicio%20gym
routine-biceps-curl-en-polea-con-barra,curl en polea con barra,Ejercicio de aislamiento para trabajar biceps. Ideal para desarrollar fuerza y definición muscular.,strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=curl%20en%20polea%20con%20barra%20ejercicio%20gym
routine-abdominales-y-cintura-elevacion-de-piernas-en-paralela,elevacion de piernas en paralela,"Ejercicio funcional enfocado en trabajar abdominales, cintura. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",core,beginner,abdominales|cintura,Abdominales y cintura,https://www.google.com/search?tbm=isch&q=elevacion%20de%20piernas%20en%20paralela%20ejercicio%20gym
routine-piernas-hip-thrusth,hip thrusth,"Ejercicio compuesto enfocado en trabajar piernas. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,piernas,Piernas,https://www.google.com/search?tbm=isch&q=hip%20thrusth%20ejercicio%20gym
routine-espalda-pull-over-polea-abierto,pull over polea abierto,"Ejercicio compuesto enfocado en trabajar espalda. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,espalda,Espalda,https://www.google.com/search?tbm=isch&q=pull%20over%20polea%20abierto%20ejercicio%20gym
routine-pecho-peck-deck-20kg,peck deck ,"Ejercicio compuesto enfocado en trabajar pecho. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,pecho,Pecho,https://www.google.com/search?tbm=isch&q=peck%20deck%20%20ejercicio%20gym
routine-biceps-extension-de-biceps-en-polea-alta,extension de biceps en polea alta,"Ejercicio compuesto enfocado en trabajar biceps. Ayuda a mejorar la fuerza, resistencia y técnica muscular mediante una ejecución controlada.",strength,beginner,biceps,Biceps,https://www.google.com/search?tbm=isch&q=extension%20de%20biceps%20en%20polea%20alta%20ejercicio%20gym
